taxa_name	class	order	family	genus	species	coefficient	direction	abs_value
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis				Lactobacillus	Lactobacillus_ruminis	0.5381460634471290	health-associated	0.5381460634471290
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis				Romboutsia	Romboutsia_ilealis	0.3834966475883290	health-associated	0.3834966475883290
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182				Roseburia	Roseburia_sp_CAG_182	0.32961639183103200	health-associated	0.32961639183103200
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum				Bifidobacterium	Bifidobacterium_catenulatum	0.2880137286144250	health-associated	0.2880137286144250
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis				Gemmiger	Gemmiger_formicilis	0.27618616510482600	health-associated	0.27618616510482600
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167				Clostridium	Clostridium_sp_CAG_167	0.24287277040517800	health-associated	0.24287277040517800
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__C2virus|s__Lactococcus_virus_bIL67				C2virus	Lactococcus_virus_bIL67	0.2189191952256860	health-associated	0.2189191952256860
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_AM42_24				Prevotella	Prevotella_sp_AM42_24	0.20713868303104800	health-associated	0.20713868303104800
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis				Bifidobacterium	Bifidobacterium_adolescentis	0.184438966271142	health-associated	0.184438966271142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans				Dorea	Dorea_formicigenerans	0.17381421393475200	health-associated	0.17381421393475200
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_sp_CAG_357				Dialister	Dialister_sp_CAG_357	0.16412530181846100	health-associated	0.16412530181846100
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens				Eubacterium	Eubacterium_eligens	0.15173013105151100	health-associated	0.15173013105151100
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques				Blautia	Ruminococcus_torques	0.14658685040674800	health-associated	0.14658685040674800
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum				Bifidobacterium	Bifidobacterium_angulatum	0.14026791802346600	health-associated	0.14026791802346600
