Core Pathways	Keywords
SCFA  metabolism	"acetate, acetic, acetyl-CoA, propionate, propionic, propionyl-CoA, butyrate, butyric, butan,butyryl-CoA, valerate, valeric acid, valeryl-CoA, formate, formic acid, succinate, succinic acid, lactate, lactic acid, isobutyrate, isobutyric acid, isovalerate, isovaleric acid, methylbutyrate"
Bile acid metabolism	"bile, bile salt, BSH, choloylglycine, baiA, baiB, baiCD, baiE, baiF, baiG, baiH, baiI, baiJ, baiK, baiL, baiN, dehydroxylation, hydroxysteroid dehydrogenase, HSDH, hdhA, cholyl-CoA, ketosteroid, cholate, cholic, lithocholate, chenodeoxycholate"
Thiamine (B1)	"thiamin, hydroxymethylpyrimidine, hydroxyethylthiazole, thiamine monophosphate, thiamine pyrophosphate, thiamine diphosphate, thiC, thiD, thiE, thiF, thiG, thiH, thiI, thiM, thiK, thiazol"
Riboflavin (B2)	"riboflavin, flavin, FMN, FAD, ribA, ribB, ribC, ribD, ribE, ribF, ribG, ribH, dihydroxybutanone, DHBP, ribityl, lumazin, GTP cyclohydrolase"
Niacin (B3)	"nadA, nadB, nadC, nadD, nadE, nicotinate, nicotinic, nicotinamide, quinolinate, quinolinic, NaMN, deamido-NAD"
Pantothenate (B5)	"panto, ketopantoate, panB, panC, panD, panE, panF, dephospho-CoA"
Pyridoxine (B6)	"pyridox, PNP, PMP, PLP, pdxA, pdxB, pdxH, pdxJ, pdxK, pdxS, pdxT, pdxY, DXP-dependent, deoxyxylulose"
Biotin (B7)	"biotin, bioA, bioB, bioC, bioD, bioF, bioH, bioW, bioZ, bioI, bioY, pimeloyl, DTB, aminopelargonate, KAPA, diaminopelargonate, DAPA, 8-amino-7-oxononanoate, 7-keto-8-aminopelarg"
Folate (B9)	"folate, folic, folA, folB, folC, folE, folK, folP, folQ, pteroate, dihydropteroate, para-aminobenzoate, PABA, THF, DHF, folyl, polyglutam"
Cobalamin (B12)	"cobalamin, vitamin B12, cobinamide, adenosylcobinamide, AdoCbi, cobyrinate, hydrogenobyrinate, uroporphyrinogen, dimethylbenzimidazole, cobI, cobJ, cobK, cbiA, cbiB, cbiC, cbiD, cbiE, cbiF, cbiG, cbiH, cbiJ, cbiK, cbiL, cbiM, cbiN, cbiO, cbiP, cbiQ, cbiT, cobI, cobalt, cobin, AdoCbl, MeCbl, ribazole, corrin"
Menaquinones (K)	"menaquinone, vitamin K, menA, menB, menC, menD, menE, menF, menG, menH, naphthoate, dihydroxynaphthoate, DHNA, o-succinylbenzoate, isochorismate, naphthoquinone, menaquin, MK-, menadion, menadiol, DHNA, OSB, succinylbenzo, demethylmenaquin"
BCAA metabolism	"branched-chain amino acid, BCAA, leucine, isoleucine, valine, ketoacid, transaminase, branched-chain keto acid, KIC, KMV, KIV, isovaleryl, 2-methylbutyryl, isobutyryl, methylcrotonyl, methylglutaconyl, HMG-CoA, tiglyl, methacrylyl"
BCFA Fermentation Pathways	"VALDEG, LEU-DEG, LEUCDEG, ILEUDEG, branched chain fatty acid biosynthesis, branched-chain fatty acid, iso-branched fatty acid, isobutyrate biosynthesis, isobutanoate biosynthesis, isovalerate biosynthesis, isopentanoate biosynthesis, 2-methylbutyrate biosynthesis, 2-methylbutanoate biosynthesis"
Tryptophan metabolism	"tryptophan, indole, kynurenine, indoleamine, kynurenic, serotonin, melatonin, anthranilic, 3-hydroxykynurenine, 3-hydroxyanthranilic, Trp, indole, IAA, IPA, IAld, kynurenine, Kyn, KYNA, 3-HK, 3-HAA, quinolinic, 5-HTP, tryptamine"
